9490.007	1.3958e-9	1.1531e-11
9490.012	1.4554e-9	1.1643e-11
9490.031	1.6603e-9	1.1749e-11
9490.035	1.6941e-9	1.2316e-11
9490.054	1.7878e-9	1.2714e-11
9490.059	1.7823e-9	1.3186e-11
9490.083	1.6916e-9	1.456e-11
9490.107	1.4473e-9	1.4687e-11
9490.13	1.1295e-9	1.725e-11
9490.154	8.223e-10	1.7654e-11
9490.178	5.7369e-10	1.7916e-11
9490.202	3.953e-10	1.814e-11
9490.225	2.7766e-10	1.8248e-11
9490.249	2.0424e-10	1.9317e-11
9490.273	1.5569e-10	1.9429e-11
9490.297	1.292e-10	1.9744e-11
9490.32	1.0711e-10	2.1039e-11
9490.344	9.3614e-11	2.112e-11
9490.368	8.2438e-11	2.157e-11
9490.392	7.3319e-11	2.1959e-11
9490.415	7.5411e-11	2.268e-11
9490.439	9.4381e-11	2.3443e-11
9490.463	1.3756e-10	2.3568e-11
9490.487	2.0039e-10	2.4328e-11
9490.511	2.6157e-10	2.4344e-11
9490.534	2.9162e-10	2.4492e-11
9490.558	2.8868e-10	2.5942e-11
9490.582	2.7217e-10	2.6296e-11
9490.606	2.676e-10	2.6878e-11
9490.629	2.6854e-10	2.8068e-11
9490.653	2.7566e-10	2.8323e-11
9490.677	3.027e-10	2.8657e-11
9490.701	3.6291e-10	2.8727e-11
9490.724	4.3989e-10	2.9286e-11
9490.748	4.9602e-10	2.9668e-11
9490.772	4.9449e-10	2.9712e-11
9490.796	4.3531e-10	2.9824e-11
9490.819	3.4844e-10	3.0984e-11
9490.843	2.6047e-10	3.1862e-11
9490.867	1.8817e-10	3.1994e-11
9490.891	1.367e-10	3.2353e-11
9490.914	1.0297e-10	3.3067e-11
9490.938	8.0443e-11	3.3461e-11
9490.962	6.499e-11	3.3544e-11
9490.986	5.4829e-11	3.3871e-11
9491.009	4.9688e-11	3.4455e-11
9491.033	5.1045e-11	3.5626e-11
9491.057	5.2214e-11	3.5921e-11
9491.081	6.0087e-11	3.5926e-11
9491.104	7.3815e-11	3.621e-11
9491.128	1.0333e-10	3.6701e-11
9491.152	1.5887e-10	3.7099e-11
9491.176	2.5268e-10	3.7186e-11
9491.199	3.7939e-10	3.7675e-11
9491.223	5.0564e-10	3.8248e-11
9491.247	5.7959e-10	3.8426e-11
9491.271	5.6446e-10	3.856e-11
9491.294	4.6979e-10	3.8892e-11
9491.318	3.399e-10	3.9141e-11
9491.342	2.232e-10	3.9321e-11
9491.366	1.4035e-10	3.9516e-11
9491.389	9.1126e-11	3.9551e-11
9491.413	6.5786e-11	3.9618e-11
9491.437	5.3015e-11	4e-11
9491.461	4.6493e-11	4.0539e-11
9491.484	4.1629e-11	4.0543e-11
9491.508	3.7675e-11	4.1117e-11
9491.532	3.4455e-11	4.1629e-11
9491.556	3.3871e-11	4.1732e-11
9491.579	3.1994e-11	4.2228e-11
9491.603	3.3461e-11	4.257e-11
9491.627	3.6701e-11	4.3511e-11
9491.651	4.0543e-11	4.3553e-11
9491.674	4.3948e-11	4.3674e-11
9491.698	4.4086e-11	4.3787e-11
9491.722	4.3674e-11	4.3933e-11
9491.746	4.5954e-11	4.3948e-11
9491.769	5.3476e-11	4.4086e-11
9491.793	7.2795e-11	4.4124e-11
9491.817	1.0717e-10	4.4375e-11
9491.841	1.5754e-10	4.4458e-11
9491.864	2.1096e-10	4.4553e-11
9491.888	2.4734e-10	4.4741e-11
9491.912	2.4973e-10	4.508e-11
9491.936	2.1998e-10	4.5414e-11
9491.959	1.7883e-10	4.5954e-11
9491.983	1.4619e-10	4.637e-11
9492.007	1.2667e-10	4.6493e-11
9492.031	1.1413e-10	4.6632e-11
9492.055	1.0265e-10	4.7288e-11
9492.078	9.2941e-11	4.8073e-11
